"","AF","address","university","department","short_address","postal_code","country"
"40","Milano, Daniela","INIBIOMA CONICET UNCo, Lab Fotobiol, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","INIBIOMA CONICET UNCo"," Lab Fotobiol"," RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","RA-8400","Argentina"
"41","Zagarese, Horacio E.","INTECH CONICET, Lab Ecol & Fotobiol Acuat, Buenos Aires, DF, Argentina.","INTECH CONICET"," Lab Ecol & Fotobiol Acuat"," Buenos Aires, DF, Argentina.",NA,"Argentina"
"42","Dias, Camila J.","Pontificia Univ Catolica Minas Gerais, Programa Pos Grad Zool Vertebrados, BR-30535610 Belo Horizonte, MG, Brazil.","Pontificia Univ Catolica Minas Gerais"," Programa Pos Grad Zool Vertebrados"," BR-30535610 Belo Horizonte, MG, Brazil.","BR-30535610","Brazil"
"43","Eterovick, Paula C.","Pontificia Univ Catolica Minas Gerais, Programa Pos Grad Zool Vertebrados, BR-30535610 Belo Horizonte, MG, Brazil.","Pontificia Univ Catolica Minas Gerais"," Programa Pos Grad Zool Vertebrados"," BR-30535610 Belo Horizonte, MG, Brazil.","BR-30535610","Brazil"
"44","Franco, Bruna P.","Pontificia Univ Catolica Minas Gerais, Programa Pos Grad Zool Vertebrados, BR-30535610 Belo Horizonte, MG, Brazil.","Pontificia Univ Catolica Minas Gerais"," Programa Pos Grad Zool Vertebrados"," BR-30535610 Belo Horizonte, MG, Brazil.","BR-30535610","Brazil"
"45","Lazarotti, Isabela","Pontificia Univ Catolica Minas Gerais, Programa Pos Grad Zool Vertebrados, BR-30535610 Belo Horizonte, MG, Brazil.","Pontificia Univ Catolica Minas Gerais"," Programa Pos Grad Zool Vertebrados"," BR-30535610 Belo Horizonte, MG, Brazil.","BR-30535610","Brazil"
"46","Cabido, Marcelo","Univ Nacl Cordoba, Inst Multidisciplinario Biol Vegetal, CONICET, RA-5000 Cordoba, Argentina.","Univ Nacl Cordoba"," Inst Multidisciplinario Biol Vegetal"," CONICET, RA-5000 Cordoba, Argentina.","RA-5000","Argentina"
"47","Cingolani, Ana M.","Univ Nacl Cordoba, Inst Multidisciplinario Biol Vegetal, CONICET, RA-5000 Cordoba, Argentina.","Univ Nacl Cordoba"," Inst Multidisciplinario Biol Vegetal"," CONICET, RA-5000 Cordoba, Argentina.","RA-5000","Argentina"
"48","Gurvich, Diego E.","Univ Nacl Cordoba, Inst Multidisciplinario Biol Vegetal, CONICET, RA-5000 Cordoba, Argentina.","Univ Nacl Cordoba"," Inst Multidisciplinario Biol Vegetal"," CONICET, RA-5000 Cordoba, Argentina.","RA-5000","Argentina"
"49","Perez Harguindeguy, Natalia","Univ Nacl Cordoba, Inst Multidisciplinario Biol Vegetal, CONICET, RA-5000 Cordoba, Argentina.","Univ Nacl Cordoba"," Inst Multidisciplinario Biol Vegetal"," CONICET, RA-5000 Cordoba, Argentina.","RA-5000","Argentina"
"50","Victoria Vaieretti, Maria","Univ Nacl Cordoba, Inst Multidisciplinario Biol Vegetal, CONICET, RA-5000 Cordoba, Argentina.","Univ Nacl Cordoba"," Inst Multidisciplinario Biol Vegetal"," CONICET, RA-5000 Cordoba, Argentina.","RA-5000","Argentina"
"51","Eyzaguirre, Pablo","Biovers Int, I-00057 Rome, Italy.","Biovers Int"," I-00057 Rome"," Italy.",NA,"Italy"
"52","Galluzzi, Gea","CIAT, Biovers Int, Off Amer, Cali, Colombia.","CIAT"," Biovers Int"," Off Amer, Cali, Colombia.",NA,"Colombia"
"53","Negri, Valeria","Univ Perugia, Dept Appl Biol, I-06121 Perugia, Italy.","Univ Perugia"," Dept Appl Biol"," I-06121 Perugia, Italy.","I-0612","Peru"
"54","Flores-Villela, Oscar","Univ Nacl Autonoma Mexico, Museo Zool, Fac Ciencias, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Museo Zool"," Fac Ciencias, Mexico City 04510, DF, Mexico."," 04510","Mexico"
"55","Frias-Alvarez, Patricia","Univ Nacl Autonoma Mexico, Dept Zool, Inst Biol, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Dept Zool"," Inst Biol, Mexico City 04510, DF, Mexico."," 04510","Mexico"
"56","Jaime Zuniga-Vega, J.","Univ Nacl Autonoma Mexico, Dept Ecol & Recursos Nat, Fac Ciencias, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Dept Ecol & Recursos Nat"," Fac Ciencias, Mexico City 04510, DF, Mexico."," 04510","Mexico"
"57","Daehler, Curtis C.","Univ Hawaii, Dept Bot, Honolulu, HI 96822 USA.","Univ Hawaii"," Dept Bot"," Honolulu, HI 96822 USA."," 96822","USA"
"58","Leishman, Michelle R.","Macquarie Univ, Dept Biol Sci, Sydney, NSW 2109, Australia.","Macquarie Univ"," Dept Biol Sci"," Sydney, NSW 2109, Australia.","NSW 2109","Australia"
"59","Pauchard, Anibal","Univ Concepcion, Fac Ciencias Forestales, Lab Invas Biol, Concepcion, Chile.","Univ Concepcion"," Fac Ciencias Forestales"," Lab Invas Biol, Concepcion, Chile.",NA,"Chile"
"60","Pysek, Petr","Acad Sci Czech Republic, Inst Bot, CS-25243 Pruhonice, Czech Republic.","Acad Sci Czech Republic"," Inst Bot"," CS-25243 Pruhonice, Czech Republic.","CS-25243","Czech Republic"
"61","Richardson, David M.","Univ Stellenbosch, Dept Bot & Zool, Ctr Invas Biol, ZA-7602 Matieland, South Africa.","Univ Stellenbosch"," Dept Bot & Zool"," Ctr Invas Biol, ZA-7602 Matieland, South Africa.","ZA-7602","South Africa"
"62","Aguayo, Mauricio","CIEP, Coyhaique, Chile.","CIEP"," Coyhaique"," Chile.",NA,"Chile"
"63","Langdon, Barbara","CIEP, Coyhaique, Chile.","CIEP"," Coyhaique"," Chile.",NA,"Chile"
"64","Pauchard, Anibal","CIEP, Coyhaique, Chile.","CIEP"," Coyhaique"," Chile.",NA,"Chile"
"65","Aguiar, Antonio V.","Univ Florida, Dept Wildlife Ecol & Conservat, Gainesville, FL 32611 USA.","Univ Florida"," Dept Wildlife Ecol & Conservat"," Gainesville, FL 32611 USA."," 32611","USA"
"66","Girao, Luciana C.","Univ Fed Pernambuco, Dept Bot, Programa Posgrad Biol Vegetal, BR-50670901 Recife, PE, Brazil.","Univ Fed Pernambuco"," Dept Bot"," Programa Posgrad Biol Vegetal, BR-50670901 Recife, PE, Brazil.","BR-50670901","Brazil"
"67","Lopes, Ariadna V.",NA,NA,NA,NA,NA,NA
"68","Peres, Carlos A.","Univ E Anglia, Sch Environm Sci, Norwich NR4 7TJ, Norfolk, England.","Univ E Anglia"," Sch Environm Sci"," Norwich NR4 7TJ, Norfolk, England.","NR4 7TJ",NA
"69","Tabarelli, Marcelo","Univ Fed Pernambuco, Dept Bot, Programa Posgrad Biol Vegetal, BR-50670901 Recife, PE, Brazil.","Univ Fed Pernambuco"," Dept Bot"," Programa Posgrad Biol Vegetal, BR-50670901 Recife, PE, Brazil.","BR-50670901","Brazil"
"70","Franklin, Kimberly","Univ Arizona, Ctr Insect Sci, Dept Entomol, Tucson, AZ 85721 USA.","Univ Arizona"," Ctr Insect Sci"," Dept Entomol, Tucson, AZ 85721 USA."," 85721","USA"
"71","Molina-Freaner, Francisco","Univ Nacl Autonoma Mexico, Inst Ecol, Hermosillo 83000, Sonora, Mexico.","Univ Nacl Autonoma Mexico"," Inst Ecol"," Hermosillo 83000, Sonora, Mexico."," 83000","Mexico"
"72","Diaz-Castelazo, Cecilia","Inst Ecol AC, Xalapa 91070, Veracruz, Mexico.","Inst Ecol AC"," Xalapa 91070"," Veracruz, Mexico.",NA,"Mexico"
"73","Angeles Marcos-Garcia, M.","Univ Alicante, Inst Biodiversidad CIBIO, E-03080 Alicante, Spain.","Univ Alicante"," Inst Biodiversidad CIBIO"," E-03080 Alicante, Spain.","E-0308","Spain"
"74","Martinez-Falcon, Ana P.","Univ Alicante, Inst Biodiversidad CIBIO, E-03080 Alicante, Spain.","Univ Alicante"," Inst Biodiversidad CIBIO"," E-03080 Alicante, Spain.","E-0308","Spain"
"75","Rico-Gray, Victor","Inst Ecol AC, Xalapa 91070, Veracruz, Mexico.","Inst Ecol AC"," Xalapa 91070"," Veracruz, Mexico.",NA,"Mexico"
"76","Gagnon, Paul R.","Univ Florida, Dept Wildlife Ecol & Conservat, Gainesville, FL 32611 USA.","Univ Florida"," Dept Wildlife Ecol & Conservat"," Gainesville, FL 32611 USA."," 32611","USA"
"77","Harms, Kyle E.","Louisiana State Univ, Dept Biol Sci, Baton Rouge, LA 70803 USA.","Louisiana State Univ"," Dept Biol Sci"," Baton Rouge, LA 70803 USA."," 70803","USA"
"78","Myers, Jonathan A.","Louisiana State Univ, Dept Biol Sci, Baton Rouge, LA 70803 USA.","Louisiana State Univ"," Dept Biol Sci"," Baton Rouge, LA 70803 USA."," 70803","USA"
"79","Paine, C. E. Timothy","Univ Zurich, Inst Evolut Biol & Umweltwissensch, CH-8057 Zurich, Switzerland.","Univ Zurich"," Inst Evolut Biol & Umweltwissensch"," CH-8057 Zurich, Switzerland.","CH-8057","Switzerland"
"80","Passmore, Heather A.","Louisiana State Univ, Dept Biol Sci, Baton Rouge, LA 70803 USA.","Louisiana State Univ"," Dept Biol Sci"," Baton Rouge, LA 70803 USA."," 70803","USA"
"81","Platt, William J.","Louisiana State Univ, Dept Biol Sci, Baton Rouge, LA 70803 USA.","Louisiana State Univ"," Dept Biol Sci"," Baton Rouge, LA 70803 USA."," 70803","USA"
"82","Pablo Castillo, Juan","Univ Nacl Autonoma Mexico, Inst Ecol, Dept Ecol Biodiversidad, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Inst Ecol"," Dept Ecol Biodiversidad, Mexico City 04510, DF, Mexico."," 04510","Mexico"
"83","Valiente-Banuet, Alfonso","Univ Nacl Autonoma Mexico, Inst Ecol, Dept Ecol Biodiversidad, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Inst Ecol"," Dept Ecol Biodiversidad, Mexico City 04510, DF, Mexico."," 04510","Mexico"
"84","Verdu, Miguel","CSIC UV GV, Ctr Invest Desertificac CIDE, Valencia 46470, Spain.","CSIC UV GV"," Ctr Invest Desertificac CIDE"," Valencia 46470, Spain."," 46470","Spain"
"85","Bunker, Daniel E.","New Jersey Inst Technol, Dept Biol Sci, Newark, NJ 07102 USA.","New Jersey Inst Technol"," Dept Biol Sci"," Newark, NJ 07102 USA."," 07102","USA"
"86","Condit, Richard","Smithsonian Trop Res Inst, Balboa, Panama.","Smithsonian Trop Res Inst"," Balboa"," Panama.",NA,"Panama"
"87","Dalling, James W.","Smithsonian Trop Res Inst, Balboa, Panama.","Smithsonian Trop Res Inst"," Balboa"," Panama.",NA,"Panama"
"88","Davies, Stuart J.","Smithsonian Trop Res Inst, Balboa, Panama.","Smithsonian Trop Res Inst"," Balboa"," Panama.",NA,"Panama"
"89","Diaz, Sandra","Univ Nacl Cordoba, Consejo Nacl Invest Cient & Tecn, Inst Multidisciplinario Biol Vegetal, RA-5000 Cordoba, Argentina.","Univ Nacl Cordoba"," Consejo Nacl Invest Cient & Tecn"," Inst Multidisciplinario Biol Vegetal, RA-5000 Cordoba, Argentina.","RA-5000","Argentina"
"90","Engelbrecht, Bettina M. J.","Smithsonian Trop Res Inst, Balboa, Panama.","Smithsonian Trop Res Inst"," Balboa"," Panama.",NA,"Panama"
"91","Harms, Kyle E.","Smithsonian Trop Res Inst, Balboa, Panama.","Smithsonian Trop Res Inst"," Balboa"," Panama.",NA,"Panama"
"92","Hubbell, Stephen P.","Smithsonian Trop Res Inst, Balboa, Panama.","Smithsonian Trop Res Inst"," Balboa"," Panama.",NA,"Panama"
"93","Kitajima, Kaoru","Smithsonian Trop Res Inst, Balboa, Panama.","Smithsonian Trop Res Inst"," Balboa"," Panama.",NA,"Panama"
"94","Kraft, Nathan J. B.","Univ Calif Berkeley, Dept Integrat Biol, Berkeley, CA 94720 USA.","Univ Calif Berkeley"," Dept Integrat Biol"," Berkeley, CA 94720 USA."," 94720","USA"
"95","Marks, Christian O.","Univ Minnesota, Dept Ecol Evolut & Behav, St Paul, MN 55108 USA.","Univ Minnesota"," Dept Ecol Evolut & Behav"," St Paul, MN 55108 USA."," 55108","USA"
"96","Reich, Peter B.","Univ Minnesota, Dept Forest Resources, St Paul, MN 55108 USA.","Univ Minnesota"," Dept Forest Resources"," St Paul, MN 55108 USA."," 55108","USA"
"97","Ruiz-Jaen, Maria C.","McGill Univ, Dept Biol, Montreal, PQ H3A 1B1, Canada.","McGill Univ"," Dept Biol"," Montreal, PQ H3A 1B1, Canada."," H3A 1B1","Canada"
"98","Salvador, Cristina M.","Santa Fe Bot Garden, Santa Fe, NM 87502 USA.","Santa Fe Bot Garden"," Santa Fe"," NM 87502 USA."," 87502","USA"
"99","Wright, Ian J.","Macquarie Univ, Dept Biol Sci, Sydney, NSW 2109, Australia.","Macquarie Univ"," Dept Biol Sci"," Sydney, NSW 2109, Australia.","NSW 2109","Australia"
"100","Joseph Wright, S.","Smithsonian Trop Res Inst, Balboa, Panama.","Smithsonian Trop Res Inst"," Balboa"," Panama.",NA,"Panama"
"101","Zanne, Amy E.","Univ Missouri, Dept Biol, St Louis, MO 63121 USA.","Univ Missouri"," Dept Biol"," St Louis, MO 63121 USA."," 63121","USA"
"102","Metz, Margaret R.","Univ Calif Berkeley, Dept Integrat Biol, Berkeley, CA 94720 USA.","Univ Calif Berkeley"," Dept Integrat Biol"," Berkeley, CA 94720 USA."," 94720","USA"
"103","Sousa, Wayne P.","Univ Calif Berkeley, Dept Integrat Biol, Berkeley, CA 94720 USA.","Univ Calif Berkeley"," Dept Integrat Biol"," Berkeley, CA 94720 USA."," 94720","USA"
"104","Valencia, Renato","Pontificia Univ Catolica Ecuador, Escuela Ciencias Biol, Lab Ecol Plantas, Quito, Ecuador.","Pontificia Univ Catolica Ecuador"," Escuela Ciencias Biol"," Lab Ecol Plantas, Quito, Ecuador.",NA,"Ecuador"
"105","Cassemiro, Fernanda A. S.","Univ Fed Goias, Dept Ecol, BR-74001970 Goiania, Go, Brazil.","Univ Fed Goias"," Dept Ecol"," BR-74001970 Goiania, Go, Brazil.","BR-74001970","Brazil"
"106","Felizola Diniz-Filho, Jose Alexandre","Univ Fed Goias, Dept Ecol, BR-74001970 Goiania, Go, Brazil.","Univ Fed Goias"," Dept Ecol"," BR-74001970 Goiania, Go, Brazil.","BR-74001970","Brazil"
"107","Dunne, Jennifer A.","Santa Fe Inst, Santa Fe, NM 87501 USA.","Santa Fe Inst"," Santa Fe"," NM 87501 USA."," 87501","USA"
"108","Garay-Narvaez, Leslie","Fdn Univ Chile, Ctr Nacl Medio Ambiente, Santiago, Chile.","Fdn Univ Chile"," Ctr Nacl Medio Ambiente"," Santiago, Chile.",NA,"Chile"
"109","Ramos-Jiliberto, Rodrigo","Fdn Univ Chile, Ctr Nacl Medio Ambiente, Santiago, Chile.","Fdn Univ Chile"," Ctr Nacl Medio Ambiente"," Santiago, Chile.",NA,"Chile"
"110","Urbani, Pasquinell","Fdn Univ Chile, Ctr Nacl Medio Ambiente, Santiago, Chile.","Fdn Univ Chile"," Ctr Nacl Medio Ambiente"," Santiago, Chile.",NA,"Chile"
"111","Valdovinos, Fernanda S.","Fdn Univ Chile, Ctr Nacl Medio Ambiente, Santiago, Chile.","Fdn Univ Chile"," Ctr Nacl Medio Ambiente"," Santiago, Chile.",NA,"Chile"
"112","Barros, Eduardo M.","Univ Fed Pernambuco, Dept Agron Entomol, BR-31794900 Recife, PE, Brazil.","Univ Fed Pernambuco"," Dept Agron Entomol"," BR-31794900 Recife, PE, Brazil.","BR-31794900","Brazil"
"113","Oliveira, Martin D.","Univ Fed Pernambuco, Dept Agron Entomol, BR-31794900 Recife, PE, Brazil.","Univ Fed Pernambuco"," Dept Agron Entomol"," BR-31794900 Recife, PE, Brazil.","BR-31794900","Brazil"
"114","Ruberson, John R.","Univ Georgia, Dept Entomol, Tifton, GA 31794 USA.","Univ Georgia"," Dept Entomol"," Tifton, GA 31794 USA."," 31794","USA"
"115","Torres, Jorge B.","Univ Fed Pernambuco, Dept Agron Entomol, BR-31794900 Recife, PE, Brazil.","Univ Fed Pernambuco"," Dept Agron Entomol"," BR-31794900 Recife, PE, Brazil.","BR-31794900","Brazil"
"116","Horgan, Finbarr G.","Univ New Brunswick, Dept Biol, Populat Ecol Grp, Fredericton, NB E3B 6C2, Canada.","Univ New Brunswick"," Dept Biol"," Populat Ecol Grp, Fredericton, NB E3B 6C2, Canada."," E3B 6C2","Canada"
"117","Lagnaoui, Aziz","Ctr Int Papa, Dept Entomol & Nematol, Lima 12, Peru.","Ctr Int Papa"," Dept Entomol & Nematol"," Lima 12, Peru.","Lima 12","Peru"
"118","Pelletier, Yvan","Univ New Brunswick, Dept Biol, Populat Ecol Grp, Fredericton, NB E3B 6C2, Canada.","Univ New Brunswick"," Dept Biol"," Populat Ecol Grp, Fredericton, NB E3B 6C2, Canada."," E3B 6C2","Canada"
"119","Quiring, Dan T.","Univ New Brunswick, Dept Biol, Populat Ecol Grp, Fredericton, NB E3B 6C2, Canada.","Univ New Brunswick"," Dept Biol"," Populat Ecol Grp, Fredericton, NB E3B 6C2, Canada."," E3B 6C2","Canada"
"120","Salas, Alberto R.","Ctr Int Papa, Dept Entomol & Nematol, Lima 12, Peru.","Ctr Int Papa"," Dept Entomol & Nematol"," Lima 12, Peru.","Lima 12","Peru"
"121","Salomao, Adriana T.","Univ Estadual Campinas, UNICAMP, Inst Biol, Programa Posgrad Ecol, BR-13083970 Campinas, SP, Brazil.","Univ Estadual Campinas"," UNICAMP"," Inst Biol, Programa Posgrad Ecol, BR-13083970 Campinas, SP, Brazil.","BR-13083970","Brazil"
"122","Vasconcellos-Neto, Joao","Univ Estadual Campinas, UNICAMP, Inst Biol, Depto Biol, BR-13083970 Campinas, SP, Brazil.","Univ Estadual Campinas"," UNICAMP"," Inst Biol, Depto Biol, BR-13083970 Campinas, SP, Brazil.","BR-13083970","Brazil"
"123","Klein, A. -M.","Univ Gottingen, D-37073 Gottingen, Germany.","Univ Gottingen"," D-37073 Gottingen"," Germany.",NA,"Germany"
"124","Sousa-Souto, L.","Univ Fed Sergipe, Grad Programme Ecol, BR-49100000 Sao Cristovao, SE, Brazil.","Univ Fed Sergipe"," Grad Programme Ecol"," BR-49100000 Sao Cristovao, SE, Brazil.","BR-49100000","Brazil"
"125","Teodoro, A. V.","Univ Gottingen, D-37073 Gottingen, Germany.","Univ Gottingen"," D-37073 Gottingen"," Germany.",NA,"Germany"
"126","Tscharntke, T.","Univ Gottingen, D-37073 Gottingen, Germany.","Univ Gottingen"," D-37073 Gottingen"," Germany.",NA,"Germany"
"127","Anderson, Robert S.","Canadian Museum Nat, Stn D, Ottawa, ON K1P 6P4, Canada.","Canadian Museum Nat"," Stn D"," Ottawa, ON K1P 6P4, Canada."," K1P 6P4","Canada"
"128","Chacon, Eduardo","Univ Costa Rica, Escuela Biol, San Jose, Costa Rica.","Univ Costa Rica"," Escuela Biol"," San Jose, Costa Rica.",NA,"Costa Rica"
"129","Johnson, M. Tracy","US Forest Serv, Inst Pacific Islands Forestry, USDA, Pacific SW Res Stn, Volcano, HI 96785 USA.","US Forest Serv"," Inst Pacific Islands Forestry"," USDA, Pacific SW Res Stn, Volcano, HI 96785 USA."," 96785","USA"
"130","Reichert, Elisabeth","McGill Univ, Dept Nat Resource Sci, Ste Anne De Bellevue, PQ H9X 3V9, Canada.","McGill Univ"," Dept Nat Resource Sci"," Ste Anne De Bellevue, PQ H9X 3V9, Canada."," H9X 3V9","Canada"
"131","Wheeler, Terry A.","McGill Univ, Dept Nat Resource Sci, Ste Anne De Bellevue, PQ H9X 3V9, Canada.","McGill Univ"," Dept Nat Resource Sci"," Ste Anne De Bellevue, PQ H9X 3V9, Canada."," H9X 3V9","Canada"
"132","Oliveira, Paulo S.","Univ Estadual Campinas, Dept Biol Anim, BR-13083970 Campinas, SP, Brazil.","Univ Estadual Campinas"," Dept Biol Anim"," BR-13083970 Campinas, SP, Brazil.","BR-13083970","Brazil"
